settlement,rrp,demand
2026-08-24 11:00:00,6.42,5323.65
2026-08-24 11:05:00,17.09,5518.87
2026-08-24 11:10:00,17.09,5665.41
2026-08-24 11:15:00,6.42,5689.75
2026-08-24 11:20:00,10.65006,5712.18
2026-08-24 11:25:00,10.5,5802.46
2026-08-24 11:30:00,16.04,5574.4
2026-08-24 11:35:00,10.65006,5588.49
2026-08-24 11:40:00,6.42,5576.51
2026-08-24 11:45:00,10.65006,5671.51
2026-08-24 11:50:00,10.65,5615.43
2026-08-24 11:55:00,10.65,5699.15
2026-08-24 12:00:00,4.42,5582.2
2026-08-24 12:05:00,6.42,5481.87
2026-08-24 12:10:00,10.5,5298.82
2026-08-24 12:15:00,6.42,5322.26
2026-08-24 12:20:00,6.42,5117.9
2026-08-24 12:25:00,6.42,5290.18
2026-08-24 12:30:00,8.94,5123.39
2026-08-24 12:35:00,19.2049,5136.94
2026-08-24 12:40:00,7.93996,5064.91
2026-08-24 12:45:00,6.42,5016.58
2026-08-24 12:50:00,8.94,4982.63
2026-08-24 12:55:00,6.42,4917.36
2026-08-24 13:00:00,10.50017,4986.26
2026-08-24 13:05:00,10.65,5019.11
2026-08-24 13:10:00,10.5,4950.52
2026-08-24 13:15:00,26.62598,5057.09
2026-08-24 13:20:00,12.5,5051.23
2026-08-24 13:25:00,13.56317,5077.65
2026-08-24 13:30:00,22.93846,5071.38
2026-08-24 13:35:00,13.48603,5109.7
2026-08-24 13:40:00,24.82001,5193.21
2026-08-24 13:45:00,25.32853,5248.61
2026-08-24 13:50:00,19.18,5268.59
2026-08-24 13:55:00,19.18,5366.34
2026-08-24 14:00:00,20.88,5395.22
2026-08-24 14:05:00,28.40652,5381.24
2026-08-24 14:10:00,34.0,5290.14
2026-08-24 14:15:00,25.61692,5467.94
2026-08-24 14:20:00,27.42,5350.05
2026-08-24 14:25:00,31.45,5457.21
2026-08-24 14:30:00,29.08719,5433.32
2026-08-24 14:35:00,30.62,5364.74
2026-08-24 14:40:00,33.75,5369.89
2026-08-24 14:45:00,33.75,5354.42
2026-08-24 14:50:00,59.28885,5291.73
2026-08-24 14:55:00,64.01,5205.5
2026-08-24 15:00:00,48.42,5341.36
2026-08-24 15:05:00,79.72006,5285.59
2026-08-24 15:10:00,86.76,5244.28
2026-08-24 15:15:00,81.68,5444.89
2026-08-24 15:20:00,119.12112,5428.93
2026-08-24 15:25:00,106.07784,5419.66
2026-08-24 15:30:00,79.72001,5453.45
2026-08-24 15:35:00,61.51,5590.36
2026-08-24 15:40:00,76.79102,5613.52
2026-08-24 15:45:00,76.80759,5609.39
2026-08-24 15:50:00,89.0,5611.85
2026-08-24 15:55:00,107.8,5731.53
2026-08-24 16:00:00,96.46261,5782.54
2026-08-24 16:05:00,72.93,5918.43
2026-08-24 16:10:00,119.58,5960.68
2026-08-24 16:15:00,114.14269,5958.66
2026-08-24 16:20:00,103.95,6100.98
2026-08-24 16:25:00,95.15823,6252.3
2026-08-24 16:30:00,100.42,6261.61
2026-08-24 16:35:00,100.42,6278.39
2026-08-24 16:40:00,100.53,6334.09
2026-08-24 16:45:00,103.01888,6341.88
2026-08-24 16:50:00,103.02793,6439.48
2026-08-24 16:55:00,110.12,6495.22
2026-08-24 17:00:00,132.68,6564.63
2026-08-24 17:05:00,98.85816,6567.45
2026-08-24 17:10:00,92.28786,6566.63
2026-08-24 17:15:00,110.5,6671.32
2026-08-24 17:20:00,113.274,6788.18
2026-08-24 17:25:00,117.55093,6767.6
